rid^facility_name^address^last_inspected^violation_code^violation^violation_count^num_crit_not_corrected^num_non_critical^description^local_health_dept^county^facility_address^city^zipcode^nysdoh^municipality^operation_name^permit_exp_date^permitted^business^corp_name^operator_lname^operator_fname^nys_health_id^inspection_type^comments^state^coords
ba7c978f^PEKING GARDEN^56 MAIN STREET,  BREWSTER^2025-05-21^12D^Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs^0^0^3^Food Service Establishment - Restaurant^Putnam County^PUTNAM^56 MAIN STREET^BREWSTER^10509^395500^SOUTHEAST^PEKING GARDEN^2026-03-31^^PEKING GARDEN^PEKING GARDEN MAIN STREET, INC^LI^YUN MEI^299603^Inspection^^NY^41.394455^ -73.618259
ba7c978f^PEKING GARDEN^56 MAIN STREET,  BREWSTER^2025-05-21^14A^Insects, rodents present^0^0^3^Food Service Establishment - Restaurant^Putnam County^PUTNAM^56 MAIN STREET^BREWSTER^10509^395500^SOUTHEAST^PEKING GARDEN^2026-03-31^^PEKING GARDEN^PEKING GARDEN MAIN STREET, INC^LI^YUN MEI^299603^Inspection^^NY^41.394455^ -73.618259
458d50e9^MAROUN ELEMENTARY INTERMEDIATE^11 ELM STREET,  PHOENIX^2025-04-04^^No violations found.^0^0^0^Institutional Food Service - School K-12 Food Service^Oswego County^OSWEGO^11 ELM STREET^PHOENIX^13135^372900^SCHROEPPEL^MAROUN ELEMENTARY INTERMEDIATE^2026-02-28^EJ DILLON MIDDLE SCHOOL^MAROUN ELEMENTARY INTERMEDIATE^PHOENIX CENTRAL SCHOOL DISTRICT^BYRNE^CHRISTOPHER^296943^Inspection^^NY^43.234336^ -76.294669
914e4a53^MR. SUBB EGB^3 TROY ROAD,  EAST GREENBUSH^2025-07-08^^No violations found.^0^0^0^Food Service Establishment - Restaurant^Rensselaer County^RENSSELAER^3 TROY ROAD^EAST GREENBUSH^12061^415200^E. GREENBUSH^MR. SUBB^2026-02-28^^MR. SUBB^MR SUBB INC^POMPA^WILLIAM^301395^Inspection^No violations present at time of inspection^NY^42.599658^ -73.709238
164f9ec1^GENE'S FISH FRY^300 TROY ROAD,  RENSSELAER^2025-08-12^^No violations found.^0^0^0^Food Service Establishment - Restaurant^Rensselaer County^RENSSELAER^300 TROY ROAD^RENSSELAER^12144^415200^E. GREENBUSH^GENE'S FISH FRY^2026-02-28^^GENE'S FISH FRY^^HALSEY^MARK^301378^Inspection^^NY^42.644343^ -73.698219
984cc2bb^DAMIEN CENTER-TROY UNITED MINISTRIES^392  SECOND STREET,  TROY^2025-06-24^^No violations found.^0^0^0^Institutional Food Service - Nutrition for the Indigent^Rensselaer County^RENSSELAER^392  SECOND STREET^TROY^12180^410202^TROY^DAMIEN CENTER-TROY AREA UNITED MINISTRIES^2025-12-31^^DAMIEN CENTER-TROY AREA UNITED MINISTRIES^TROY AREA UNITED MINISTRIES^ELIA^DONNA^539253^Inspection^kitchen has had a new 3-bay sink, hand sink, and food prep sink installed since last inspection.^NY^42.716358^ -73.694735
a29d18f2^BETHESDA HOUSE OF SCHENECTADY, INC.^834 STATE STREET,  SCHENECTADY^2025-03-13^10B^Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)^0^0^2^Food Service Establishment - Food Service Establishment^Schenectady County^SCHENECTADY^834 STATE STREET^SCHENECTADY^12307^460100^SCHENECTADY^BETHESDA HOUSE OF SCHENECTADY^2025-12-31^^BETHESDA HOUSE OF SCHENECTADY^BETHESDA HOUSE OF SCHENECTADY, INC.^SHEPPARD^KIMARIE^306706^Inspection^^NY^42.806304^ -73.933414
a29d18f2^BETHESDA HOUSE OF SCHENECTADY, INC.^834 STATE STREET,  SCHENECTADY^2025-03-13^11B^Wiping cloths dirty, not stored properly in sanitizing solutions^0^0^2^Food Service Establishment - Food Service Establishment^Schenectady County^SCHENECTADY^834 STATE STREET^SCHENECTADY^12307^460100^SCHENECTADY^BETHESDA HOUSE OF SCHENECTADY^2025-12-31^^BETHESDA HOUSE OF SCHENECTADY^BETHESDA HOUSE OF SCHENECTADY, INC.^SHEPPARD^KIMARIE^306706^Inspection^^NY^42.806304^ -73.933414
f7e1822c^Middleburgh Lns & Cater^108 CHESTNUT  LANE,  MIDDLEBURGH^2025-04-14^^No violations found.^0^0^0^Food Service Establishment - Food Service Establishment^Schoharie County^SCHOHARIE^108 CHESTNUT  LANE^MIDDLEBURGH^12122^472200^MIDDLEBURG^MIDDLEBURGH LANES and Catering^2025-12-31^^MIDDLEBURGH LANES and Catering^^SHULTES^RICHARD & PAT^307283^Inspection^^NY^42.597997^ -74.332885
50123250^KFC^48 SOUTH ROUTE 9W,  WEST HAVERSTRAW^2025-07-31^10A^Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces)^0^0^4^Food Service Establishment - Food Service Establishment^Rockland County^ROCKLAND^48 SOUTH ROUTE 9W^WEST HAVERSTRAW^10993^435100^HAVERSTRAW^KFC^2026-04-30^KFC/PIZZA HUT EXPRESS^KFC^C & B RESTAURANT CORP.^CAVEGN^JOSEPH^428217^Inspection^Violations discussed with N.I.|Please be aware that any violation of the NYS Sanitary Code subpart 14-1 may be subject to a civil penalty of up to $2,000 per day.^NY^41.204268^ -73.98402
